"OriginalSizeKB","NewSizeKB","SavedKB","RelativePath"
"1853","125","1728.1","files\8. Blog\1. academic\5. faculty visits\35. robotics fair\20170319_141726.jpg"
"1842.5","139.2","1703.3","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_144037.jpg"
"1851.7","164.3","1687.4","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_144033.jpg"
"1842.5","157.3","1685.2","files\8. Blog\1. academic\5. faculty visits\35. robotics fair\20170319_141546.jpg"
"1791.1","113.6","1677.5","files\8. Blog\4. Avocations\1. trekking\4. chulgiri with minki\IMG20230212170806.jpg"
"1823.4","167.3","1656.1","files\8. Blog\1. academic\3. workshops\34. IIT delhi workshop\20170626_113722.jpg"
"1820.7","165.6","1655.1","files\8. Blog\1. academic\5. faculty visits\35. robotics fair\20170319_141535.jpg"
"1875.1","221","1654.1","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_134113.jpg"
"1853","204.4","1648.6","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_124422.jpg"
"1743.4","98.1","1645.3","files\8. Blog\4. Avocations\1. trekking\4. chulgiri with minki\IMG20230212165820.jpg"
"1829.7","190.5","1639.2","files\8. Blog\4. Avocations\1. trekking\1. gad ganesh with minki\IMG20230702071120.jpg"
"1800.9","164.4","1636.6","files\8. Blog\4. Avocations\1. trekking\11. girjadevi temple and tracking\20170127_174230.jpg"
"1709.4","73.6","1635.8","files\8. Blog\1. academic\3. workshops\34. IIT delhi workshop\20170625_122100.jpg"
"1775.3","140.2","1635.1","files\8. Blog\1. academic\5. faculty visits\35. robotics fair\20170318_135635.jpg"
"1970.1","335.2","1634.8","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_105324.jpg"
"1728","111.3","1616.7","files\8. Blog\4. Avocations\1. trekking\4. chulgiri with minki\IMG20230212171129.jpg"
"1848.6","272.7","1575.9","files\8. Blog\1. academic\7. Hackathon Head\8. Hackathon winners-neemrana\20181028_165236.jpg"
"1663.9","103.4","1560.5","files\8. Blog\1. academic\7. Hackathon Head\8. Hackathon winners-neemrana\20181028_200405.jpg"
"1816.3","309.4","1506.9","files\8. Blog\1. academic\6. Events done\17. yoga day\20180226_113135.jpg"
"1689.4","187.1","1502.2","files\8. Blog\1. academic\2. Conferences and ppt\Coratia Conference\20180906_103004.jpg"
"1815","315.1","1500","files\4. Publication\6. presentation\3\certi.jpg"
"1654.8","176.3","1478.5","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_133840.jpg"
"1578.8","100.3","1478.4","files\8. Blog\1. academic\2. Conferences and ppt\1. Udaipur\20160305_124021.jpg"
"1629.3","157","1472.3","files\8. Blog\1. academic\2. Conferences and ppt\Coratia Conference\IMG_0223 - Copy.JPG"
"1623.8","156.6","1467.2","files\8. Blog\4. Avocations\1. trekking\1. gad ganesh with minki\IMG20230702072545.jpg"
"1625.3","160.4","1464.8","files\8. Blog\4. Avocations\1. trekking\1. gad ganesh with minki\IMG20230702073825.jpg"
"1616.5","152.1","1464.4","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_133833.jpg"
"1606","155.1","1450.9","files\8. Blog\4. Avocations\1. trekking\1. gad ganesh with minki\IMG20230702073515.jpg"
"1670.6","225.5","1445","files\8. Blog\1. academic\2. Conferences and ppt\icct-17\20171222_120557.jpg"
"1636.4","192.9","1443.5","files\8. Blog\1. academic\2. Conferences and ppt\Coratia Conference\20180906_103007.jpg"
"1742.8","313.4","1429.4","files\8. Blog\1. academic\6. Events done\17. yoga day\20180226_112618.jpg"
"1723.3","295.9","1427.4","files\8. Blog\1. academic\6. Events done\17. yoga day\20180226_113139.jpg"
"1752.5","338.4","1414.1","files\8. Blog\4. Avocations\1. trekking\1. gad ganesh with minki\IMG20230702070832_BURST000_COVER.jpg"
"1674.3","260.6","1413.7","files\4. Publication\3. conference\3\certificate.jpg"
"1470.6","72.7","1397.9","files\8. Blog\1. academic\5. faculty visits\1. zagreb, coratia\20180904_114558.jpg"
"1714.2","322","1392.2","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_115034.jpg"
"1517.2","128.4","1388.8","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_133836.jpg"
"1512.6","145.5","1367.1","files\8. Blog\4. Avocations\1. trekking\1. gad ganesh with minki\IMG20230702073454.jpg"
"1661.5","300.7","1360.8","files\8. Blog\1. academic\6. Events done\17. yoga day\20180226_112614.jpg"
"1501.6","152.1","1349.5","files\8. Blog\2. Connection\header\IMG20200128140641.jpg"
"1598.9","255.9","1343","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_114915.jpg"
"1475.8","135.1","1340.7","files\8. Blog\4. Avocations\1. trekking\1. gad ganesh with minki\IMG20230702073157.jpg"
"1483.4","155","1328.4","files\8. Blog\1. academic\2. Conferences and ppt\Coratia Conference\20180906_103024.jpg"
"1448.2","144.2","1304","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_144259.jpg"
"1442.2","163.5","1278.7","files\8. Blog\1. academic\2. Conferences and ppt\Coratia Conference\20180906_103027.jpg"
"1292.9","112","1180.9","files\8. Blog\1. academic\3. workshops\34. IIT delhi workshop\20170625_114747.jpg"
"1275.5","130.6","1144.9","files\8. Blog\1. academic\2. Conferences and ppt\sIN 17\20171014_095620.jpg"
"1226.7","89.8","1136.9","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_144009.jpg"
"1240.3","222","1018.3","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161224_184627.jpg"
"1158.4","190.8","967.6","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161220_185536.jpg"
"1252.7","287.1","965.6","files\8. Blog\1. academic\1. leadership\2. wise captain\S5030167.JPG"
"1099.8","148.8","951.1","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_134812.jpg"
"1245.2","298.2","946.9","files\8. Blog\1. academic\1. leadership\2. wise captain\S5030169.JPG"
"1027.4","126","901.3","files\8. Blog\1. academic\7. Hackathon Head\8. Hackathon winners-neemrana\20181028_165243.jpg"
"1248.4","360.1","888.3","files\8. Blog\1. academic\1. leadership\2. wise captain\S5030166.JPG"
"1199.2","318.4","880.8","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161219_131344.jpg"
"1841.5","1009","832.5","files\5. Project\1. Project\18.png"
"998.4","181.1","817.3","files\8. Blog\1. academic\3. workshops\34. IIT delhi workshop\20170625_113040.jpg"
"1090.8","275.8","814.9","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161220_090831.jpg"
"1054.6","256.4","798.3","files\5. Project\1. Project\61.jpeg"
"1073.8","279.2","794.6","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161219_132938.jpg"
"948.4","154","794.3","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161225_114445.jpg"
"987.1","225.6","761.5","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161220_135918.jpg"
"877.2","127.9","749.3","files\8. Blog\1. academic\4. expert talk\3. expert talk on AI\_MG_1132.jpg"
"877.2","127.9","749.3","files\8. Blog\1. academic\3. workshops\38. workshop on AI\_MG_1132.jpg"
"841.9","101.2","740.7","files\8. Blog\1. academic\5. faculty visits\4. IT day and muj stall\IMG-20180925-WA0010.jpeg"
"976.3","237.6","738.7","files\2. Education\3. Short Term Courses Attended\18.jpg"
"860.1","129.1","731.1","files\8. Blog\1. academic\3. workshops\34. IIT delhi workshop\20170625_114427.jpg"
"910.3","184.9","725.4","files\8. Blog\1. academic\4. expert talk\3. expert talk on AI\_MG_1110.jpg"
"910.3","184.9","725.4","files\8. Blog\1. academic\3. workshops\38. workshop on AI\_MG_1110.jpg"
"830.7","121","709.7","files\8. Blog\1. academic\3. workshops\38. workshop on AI\IMG_1163.jpg"
"830.7","121","709.7","files\8. Blog\1. academic\7. Hackathon Head\31. hackathon head\IMG_1163.jpg"
"1425.7","724.4","701.3","files\8. Blog\1. academic\6. Events done\11. Vikram award\Vikram award.jpg"
"817.3","144","673.3","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161225_135355.jpg"
"754.1","95.5","658.6","files\8. Blog\1. academic\2. Conferences and ppt\SSIC-1\20170415_083940.jpg"
"866.9","211.2","655.7","files\8. Blog\1. academic\8. Social Activities\2. Blood Donation - 2016\New Doc 8 - Copy.jpg"
"802.2","158.4","643.7","files\8. Blog\1. academic\3. workshops\38. workshop on AI\_MG_1088.jpg"
"852.4","210","642.4","files\8. Blog\1. academic\8. Social Activities\2. Blood Donation - 2016\New Doc 8.jpg"
"804.7","164.4","640.3","files\8. Blog\4. Avocations\2. Drawing\artwork\water color.jpg"
"788.2","158.6","629.6","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161220_140023.jpg"
"719","96.5","622.5","files\8. Blog\1. academic\3. workshops\34. IIT delhi workshop\20170626_123228.jpg"
"740.9","118.5","622.4","files\8. Blog\3. Sports\2. Regional & Inter University\9\Photo1299.jpg"
"711.4","92.1","619.3","files\8. Blog\1. academic\3. workshops\38. workshop on AI\_MG_1129.jpg"
"711.4","92.1","619.3","files\8. Blog\1. academic\4. expert talk\3. expert talk on AI\_MG_1129.jpg"
"740.1","121.4","618.7","files\8. Blog\1. academic\3. workshops\38. workshop on AI\_MG_1065.jpg"
"709.9","101.4","608.4","files\8. Blog\1. academic\2. Conferences and ppt\SSIC-1\20170415_132947.jpg"
"773.5","169.8","603.7","files\8. Blog\3. Sports\2. Regional & Inter University\9\Photo1303.jpg"
"775.8","176.8","599.1","files\8. Blog\1. academic\2. Conferences and ppt\SSIC-1\20170414_170912.jpg"
"711.8","112.8","599","files\8. Blog\1. academic\4. expert talk\3. expert talk on AI\_MG_1124.jpg"
"711.8","112.8","599","files\8. Blog\1. academic\3. workshops\38. workshop on AI\_MG_1124.jpg"
"716.9","129.4","587.5","files\8. Blog\1. academic\4. expert talk\3. expert talk on AI\_MG_1126.jpg"
"716.9","129.4","587.5","files\8. Blog\1. academic\3. workshops\38. workshop on AI\_MG_1126.jpg"
"689.9","112.6","577.4","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161225_100821.jpg"
"727.8","168.6","559.2","files\8. Blog\1. academic\3. workshops\37. MUN\OC.jpg"
"743.9","185.4","558.5","files\8. Blog\1. academic\4. expert talk\5. iot speaker\IMG_20210214_105415.jpg"
"668.7","117.6","551.1","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161225_131929.jpg"
"714.2","181.5","532.7","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161219_133037.jpg"
"656.2","151.6","504.5","files\5. Project\1. Project\38.jpeg"
"677.2","187.2","489.9","files\8. Blog\1. academic\2. Conferences and ppt\ICCT 2019\IMG_0237.JPG"
"840.5","359.1","481.4","files\2. Education\4. Webinars Attended\47. Reshape of Commerce Education in Post Covid-19 Scenario - 20.07.2020.jpg"
"693.8","215.8","478","files\4. Publication\3. conference\12\certi.jpg"
"626.4","167.3","459.1","files\8. Blog\1. academic\3. workshops\20. muj deep learning fdp\IMG_9118.jpg"
"579.9","176.6","403.3","files\8. Blog\1. academic\2. Conferences and ppt\ICCT 2019\IMG_0205.JPG"
"487.6","130.2","357.4","files\8. Blog\1. academic\2. Conferences and ppt\ICCT 2019\IMG_0236.JPG"
"446.8","105.1","341.7","files\6. Award\5. employee of the year\Black Music Seminar Attendance Certificate (4).jpg"
"469.1","129.4","339.7","files\8. Blog\1. academic\2. Conferences and ppt\ICCT 2019\IMG_0244.JPG"
"457.5","122.4","335.1","files\6. Award\3. second award in project in icct conference\IMG_0235.JPG"
"534","206.9","327.1","files\5. Project\1. Project\58.jpeg"
"451.3","127.2","324.2","files\8. Blog\1. academic\2. Conferences and ppt\ICCT 2019\IMG_0292.JPG"
"442.4","130.1","312.3","files\5. Project\1. Project\54.jpeg"
"1214.1","902.2","311.9","files\4. Publication\3. conference\13\certi.png"
"465.4","153.5","311.9","files\8. Blog\1. academic\3. workshops\20. muj deep learning fdp\IMG_9145.jpg"
"432.8","124.9","308","files\6. Award\4. poster award\IMG_0293.JPG"
"1662.5","1367.8","294.7","files\2. Education\3. Short Term Courses Attended\8.png"
"402.2","114","288.2","files\8. Blog\1. academic\2. Conferences and ppt\ICCT 2019\IMG_0245.JPG"
"469.2","181.9","287.3","files\8. Blog\1. academic\3. workshops\20. muj deep learning fdp\IMG_20190708_110041.jpg"
"399.2","127.9","271.4","files\8. Blog\1. academic\academic.jpg"
"4201.3","3942.9","258.4","files\8. Blog\4. Avocations\header\avocation.png"
"1991.5","1744.6","247","files\6. Award\3. second award in project in icct conference\certificate.png"
"1969.8","1723.5","246.3","files\6. Award\4. poster award\certificate.png"
"795.2","559.7","235.5","files\8. Blog\1. academic\4. expert talk\6\1.png"
"422","194.8","227.2","files\2. Education\3. Short Term Courses Attended\15.jpeg"
"951.5","725.7","225.7","files\2. Education\3. Short Term Courses Attended\16.png"
"374.2","156","218.2","files\2. Education\3. Short Term Courses Attended\6.jpeg"
"916.6","703.3","213.2","files\2. Education\3. Short Term Courses Attended\11.png"
"345.8","141.5","204.3","files\5. Project\1. Project\52.jpeg"
"1377.7","1196.2","181.6","files\2. Education\logo\2.png"
"312.5","134.3","178.2","files\2. Education\3. Short Term Courses Attended\4.jpeg"
"300.5","124.9","175.7","files\4. Publication\3. conference\7\certi.jpeg"
"301.4","131.2","170.1","files\8. Blog\2. Connection\3. mom birthday\WhatsApp Image 2021-05-18 at 09.58.29 (9).jpeg"
"252.3","83","169.3","files\8. Blog\1. academic\4. expert talk\4. expert talk on IoT\IMG-20200107-WA0009.jpg"
"271.3","103.2","168.2","files\5. Project\1. Project\55.jpeg"
"276.2","113.8","162.4","files\2. Education\3. Short Term Courses Attended\9.jpeg"
"218.5","56.5","162.1","files\8. Blog\2. Connection\3. mom birthday\nosu.jpeg"
"388.2","226.6","161.7","files\5. Project\1. Project\36.jpeg"
"843.8","684.9","158.9","files\4. Publication\3. conference\15\certi.png"
"290.9","135.6","155.3","files\8. Blog\1. academic\3. workshops\20. muj deep learning fdp\IMG_9117.jpg"
"378.2","224.1","154.1","files\8. Blog\1. academic\3. workshops\20. muj deep learning fdp\IMG_9120.jpg"
"284.4","130.2","154.1","files\6. Award\1. Best Paper award, Zagreb Coratia\62.jpg"
"977.6","824.3","153.3","files\2. Education\3. Short Term Courses Attended\21.png"
"335.8","190.7","145.1","files\8. Blog\1. academic\7. Hackathon Head\8. Hackathon winners-neemrana\20181027_184509.jpg"
"339.9","195.4","144.5","files\8. Blog\1. academic\7. Hackathon Head\8. Hackathon winners-neemrana\20181028_184349.jpg"
"420.2","276.5","143.8","files\2. Education\3. Short Term Courses Attended\1. hacking.jpg"
"353.7","209.8","143.8","files\8. Blog\1. academic\7. Hackathon Head\8. Hackathon winners-neemrana\20181027_190904.jpg"
"340.5","197.5","143.1","files\8. Blog\1. academic\7. Hackathon Head\8. Hackathon winners-neemrana\20181028_184248.jpg"
"362.7","221.1","141.6","files\8. Blog\1. academic\7. Hackathon Head\8. Hackathon winners-neemrana\20181028_183044.jpg"
"271","136.1","135","files\8. Blog\1. academic\2. Conferences and ppt\Coratia Conference\IMG_1594.JPG"
"444","311.2","132.9","files\8. Blog\1. academic\4. expert talk\1\New Doc 2018-02-10.jpg"
"320.3","188.9","131.4","files\8. Blog\2. Connection\2. ICICV conference outing\IMG20200213210750.jpg"
"276.8","145.8","131","files\8. Blog\1. academic\2. Conferences and ppt\dubai\IMG20200130151552.jpg"
"264.8","134.4","130.4","files\8. Blog\1. academic\2. Conferences and ppt\dubai\IMG20200130143241.jpg"
"469.9","339.7","130.2","files\8. Blog\1. academic\2. Conferences and ppt\39. first ppt BVICAM\DSC03541.JPG"
"293.3","164.5","128.8","files\8. Blog\1. academic\2. Conferences and ppt\sIN 17\20171015_125339.jpg"
"430.5","301.7","128.8","files\8. Blog\1. academic\2. Conferences and ppt\39. first ppt BVICAM\DSC03546.JPG"
"249.1","121","128.1","files\8. Blog\1. academic\2. Conferences and ppt\dubai\IMG20200130143242.jpg"
"320.8","192.8","128","files\8. Blog\2. Connection\2. ICICV conference outing\IMG20200213210742.jpg"
"406.6","278.9","127.7","files\8. Blog\1. academic\5. faculty visits\29. physics day\IMG20220712121659.jpg"
"300.2","173","127.2","files\8. Blog\2. Connection\2. ICICV conference outing\IMG20200213210800.jpg"
"283.6","157","126.7","files\8. Blog\2. Connection\2. ICICV conference outing\IMG20200213214307.jpg"
"248.5","122.1","126.5","files\8. Blog\1. academic\6. Events done\14. Self defence\20180319_185322.jpg"
"199.4","73","126.4","files\2. Education\3. Short Term Courses Attended\13.jpeg"
"314.6","188.3","126.3","files\8. Blog\4. Avocations\1. trekking\3. Samod with minki\IMG20230205165949.jpg"
"243.5","117.6","125.9","files\8. Blog\1. academic\3. workshops\icicv workshop\IMG20200111143408.jpg"
"235.9","110.5","125.4","files\8. Blog\1. academic\3. workshops\7. Novelence\Screenshot_2020-06-23-06-02-18-55.jpg"
"258.9","133.9","125","files\8. Blog\1. academic\5. faculty visits\4. IT day and muj stall\20180928_124540.jpg"
"450","325","125","files\8. Blog\1. academic\2. Conferences and ppt\dubai\IMG20200130125344.jpg"
"199.2","74.3","124.9","files\5. Project\1. Project\33.jpeg"
"269.6","145","124.7","files\8. Blog\1. academic\2. Conferences and ppt\dubai\IMG20200130142642.jpg"
"362","237.6","124.4","files\8. Blog\2. Connection\3. mom birthday\DSC03664.JPG"
"330.6","206.5","124.1","files\8. Blog\1. academic\2. Conferences and ppt\ICICV\IMG20200117200925.jpg"
"461.5","337.7","123.9","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161224_133659.jpg"
"297.9","174.2","123.7","files\8. Blog\1. academic\2. Conferences and ppt\39. first ppt BVICAM\DSC03551.JPG"
"356.8","233.3","123.5","files\8. Blog\2. Connection\3. mom birthday\DSC06037.JPG"
"253.2","129.9","123.3","files\8. Blog\1. academic\2. Conferences and ppt\dubai\IMG20200130143035.jpg"
"563.4","440.5","122.9","files\8. Blog\4. Avocations\1. trekking\2. JAL MAHAL WITH YASH\IMG20230512133842.jpg"
"335.4","212.6","122.8","files\8. Blog\1. academic\4. expert talk\1\20180208_143012.jpg"
"363.6","240.8","122.8","files\8. Blog\4. Avocations\1. trekking\2. JAL MAHAL WITH YASH\IMG20230512134216.jpg"
"195.8","73","122.8","files\2. Education\3. Short Term Courses Attended\2.jpeg"
"335.4","212.6","122.8","files\8. Blog\1. academic\3. workshops\15. workshop-expert talk\20180208_143012.jpg"
"243.5","121","122.5","files\8. Blog\1. academic\2. Conferences and ppt\ICICV\IMG20200118120332.jpg"
"546.9","425","122","files\8. Blog\1. academic\4. expert talk\7\20260516_172546.jpg"
"339.3","217.4","121.8","files\8. Blog\1. academic\2. Conferences and ppt\dubai\IMG20200130155858.jpg"
"299","177.2","121.8","files\8. Blog\1. academic\2. Conferences and ppt\ICICV\IMG20200117200933.jpg"
"266.2","145.2","121","files\8. Blog\1. academic\2. Conferences and ppt\dubai\IMG20200130151555.jpg"
"331.1","210.8","120.4","files\8. Blog\1. academic\2. Conferences and ppt\SSIC-1\20170502_175547.jpg"
"298.1","177.8","120.3","files\8. Blog\1. academic\3. workshops\15. workshop-expert talk\20180208_143029.jpg"
"298.1","177.8","120.3","files\8. Blog\1. academic\4. expert talk\1\20180208_143029.jpg"
"292.5","172.3","120.1","files\8. Blog\1. academic\3. workshops\13. gian mnit\20161225_120510.jpg"
"358.2","238.2","120","files\8. Blog\1. academic\3. workshops\34. IIT delhi workshop\20170625_115455.jpg"
"692.6","572.6","120","files\8. Blog\4. Avocations\1. trekking\7. dence forest\IMG20230827075615.jpg"
"333","213","120","files\8. Blog\1. academic\2. Conferences and ppt\39. first ppt BVICAM\DSC03557.JPG"
"363.3","243.4","119.9","files\8. Blog\2. Connection\1. MUJ SSIC\_DSC1190.JPG"
"542.9","423.3","119.6","files\8. Blog\4. Avocations\1. trekking\2. JAL MAHAL WITH YASH\IMG20230512144744.jpg"
"344.3","224.8","119.4","files\8. Blog\1. academic\2. Conferences and ppt\icct-17\20171223_164449.jpg"
"326.4","206.9","119.4","files\8. Blog\1. academic\3. workshops\15. workshop-expert talk\20180208_143033.jpg"
"326.4","206.9","119.4","files\8. Blog\1. academic\4. expert talk\1\20180208_143033.jpg"
"230.5","111.2","119.3","files\8. Blog\4. Avocations\2. Drawing\artwork\DSC03041.JPG"
"236.8","117.5","119.3","files\8. Blog\1. academic\2. Conferences and ppt\dubai\IMG20200130151549.jpg"
"321.8","202.6","119.2","files\8. Blog\1. academic\2. Conferences and ppt\icct-17\20171223_164454.jpg"
"635","516.7","118.4","files\8. Blog\4. Avocations\1. trekking\2. JAL MAHAL WITH YASH\IMG20230512135140.jpg"
"338","219.6","118.4","files\8. Blog\1. academic\2. Conferences and ppt\icct-17\20171223_164453.jpg"
"248.5","130.4","118.1","files\8. Blog\2. Connection\3. mom birthday\DSC07045.JPG"
"320.1","202.4","117.8","files\8. Blog\3. Sports\2. Regional & Inter University\9\DSC01012.JPG"
"156.5","38.9","117.6","files\8. Blog\1. academic\1. leadership\2. wise captain\DSC00310.JPG"
"228","110.5","117.5","files\8. Blog\1. academic\5. faculty visits\3. IT day jaipur\20180321_135456.jpg"
"479.2","361.9","117.4","files\8. Blog\1. academic\6. Events done\17. yoga day\20180226_112926.jpg"
